2026-07-02 09:07:38.718 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97541768000104: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.730 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97541684000170: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.750 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97541640000140: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.759 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97540797000151: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.769 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97540665000120: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.779 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97538638000112: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.793 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97538093000144: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.801 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97537719000106: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.811 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97537296000116: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.823 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97537057000166: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.832 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97536752000103: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.841 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97536681000149: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.849 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97536263000151: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.859 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97535539000187: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.866 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97535238000153: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.877 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97534719000144: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.878 | INFO     | services.casa_dados_client:pesquisar_todos:148 - Pesquisando termo 'condominio' pagina 5 (fonte gratuita)...
2026-07-02 09:07:39.130 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97534679000130: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.141 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97534445000193: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.155 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97533730000190: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.178 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97533162000127: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.186 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97533121000130: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.202 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97532821000100: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
