cnpj,razao_social,nome_fantasia,situacao_cadastral,data_situacao,motivo_situacao,data_abertura,matriz_filial,natureza_juridica,mei,simples,capital_social,porte,cnae_principal_codigo,cnae_principal_descricao,cnaes_secundarios,logradouro,numero,complemento,bairro,cep,municipio,uf,telefone1,telefone2,email,socios,ultima_atualizacao
52.644.282/0001-63,CONDOMINIO RESIDENCIAL ALBATROZ,CONDOMINIO RESIDENCIAL ALBATROZ,ATIVA,,,31/08/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA BATISTA DE OLIVEIRA,31,,VILA FORMOSA,03359030,SAO PAULO,SP,(11) 49648899,(11) 49648811,,,
52.641.277/0001-05,CONDOMINIO RESIDENCIAL DOM BOSCO,CONDOMINIO RESIDENCIAL DOM BOSCO,ATIVA,,,11/09/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA LUIZ DE ALMEIDA FERNANDES,57,,ITAQUERA,08215430,SAO PAULO,SP,(11) 994981339,,,,
52.640.926/0001-45,RESIDENCIAL BOGOTA,RESIDENCIAL BOGOTA,ATIVA,,,28/11/2022,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA DO CORREGO,83,,VILA CARRAO,03421020,SAO PAULO,SP,(11) 54611056,,,,
52.639.120/0001-37,RESIDENCIAL DIAS SOUZA III,-,ATIVA,,,24/10/2022,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA LUIS PEDROSO,142,,JARDIM JAPAO,02132110,SAO PAULO,SP,(11) 31817396,,,,
52.622.274/0001-16,CONDOMINIO CONTEMPORANEO JARDINS,-,ATIVA,,,23/06/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA CRISTIANO VIANA,216,,CERQUEIRA CESAR,05411000,SAO PAULO,SP,(11) 31463900,,,,
52.608.420/0001-59,RESIDENCIAL RENATO PAQUET,RESIDENCIAL RENATO PAQUET,ATIVA,,,26/07/2022,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA MARECHAL RENATO PAQUET,610,,CIDADE SAO MATEUS,03959010,SAO PAULO,SP,(11) 42154581,,,,
52.603.696/0001-44,RESIDENCIAL CORONEL,-,ATIVA,,,04/11/2022,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA CORONEL ANTONIO DE SA BARRETO,50,,VILA ELZE,03254090,SAO PAULO,SP,(11) 23251838,,,,
52.595.045/0001-50,CONDOMINIO RESIDENCIAL PLANO & BRAS,CONDOMINIO RESIDENCIAL PLANO & BRAS,ATIVA,,,13/09/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA CAETANO PINTO,252,,BRAS,03041000,SAO PAULO,SP,(11) 31712299,(11) 32847600,,,
52.595.023/0001-90,CONDOMINIO ARVO REBOUCAS,-,ATIVA,,,27/07/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,AVENIDA REBOUCAS,990,,PINHEIROS,05402000,SAO PAULO,SP,(11) 30852200,(11) 992484566,,,
52.586.511/0001-30,BOULEVARD PADRE LEO MORIM,BOULEVARD PADRE LEO MORIM,ATIVA,,,05/05/2022,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,PRACA PADRE LEO MORIN,07,,CIDADE PATRIARCA,03556050,SAO PAULO,SP,(11) 26090816,,,,
